vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2017-07-12T21:45:36.000,2017-07-12T21:49:49.000,2,0.75,1,N,237,163,1,5,0.5,0.5,1.26,0,0.3,7.56
2,2017-07-12T21:53:28.000,2017-07-12T22:03:28.000,2,2.43,1,N,163,113,1,10,0.5,0.5,2.26,0,0.3,13.56
2,2017-07-12T21:09:00.000,2017-07-12T21:24:08.000,2,3.02,1,N,161,79,1,12.5,0.5,0.5,1.5,0,0.3,15.3
2,2017-07-12T21:30:41.000,2017-07-12T21:36:15.000,2,0.90,1,N,79,114,1,5.5,0.5,0.5,1.36,0,0.3,8.16
2,2017-07-12T21:41:14.000,2017-07-12T21:54:12.000,2,1.54,1,N,114,148,2,10,0.5,0.5,0,0,0.3,11.3
2,2017-07-12T21:57:31.000,2017-07-12T22:17:59.000,2,3.48,1,N,148,230,1,15.5,0.5,0.5,3.36,0,0.3,20.16
2,2017-07-12T21:12:51.000,2017-07-12T21:17:28.000,1,0.62,1,N,141,141,1,5,0.5,0.5,1.26,0,0.3,7.56
2,2017-07-12T21:19:13.000,2017-07-12T21:23:01.000,1,0.94,1,N,141,236,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2017-07-12T21:33:33.000,2017-07-12T21:36:34.000,1,0.86,1,N,237,236,1,4.5,0.5,0.5,1.45,0,0.3,7.25
2,2017-07-12T21:53:00.000,2017-07-12T22:12:06.000,1,2.19,1,N,162,246,1,13,0.5,0.5,1.7,0,0.3,16
2,2017-07-12T21:50:39.000,2017-07-12T22:01:42.000,1,3.52,1,N,132,216,1,12.5,0.5,0.5,2.76,0,0.3,16.56
2,2017-07-12T21:44:58.000,2017-07-12T21:52:23.000,1,1.38,1,N,230,143,1,7,0.5,0.5,1.66,0,0.3,9.96
1,2017-07-12T21:27:34.000,2017-07-12T21:32:29.000,1,0.50,1,N,48,48,2,5,0.5,0.5,0,0,0.3,6.3
1,2017-07-12T21:35:52.000,2017-07-12T21:45:12.000,2,1.30,1,N,230,162,1,8,0.5,0.5,2.75,0,0.3,12.05
1,2017-07-12T21:46:36.000,2017-07-12T21:57:59.000,1,1.80,1,N,163,239,1,10,0.5,0.5,2,0,0.3,13.3
1,2017-07-12T21:59:02.000,2017-07-12T22:01:48.000,1,0.50,1,N,239,142,1,4,0.5,0.5,1.3,0,0.3,6.6
2,2017-07-12T21:17:24.000,2017-07-12T21:29:00.000,1,2.07,1,N,161,113,1,9.5,0.5,0.5,2,0,0.3,12.8
2,2017-07-12T21:55:06.000,2017-07-12T22:25:34.000,1,5.13,1,N,249,263,1,22.5,0.5,0.5,4.76,0,0.3,28.56
1,2017-07-12T21:10:04.000,2017-07-12T21:16:18.000,1,0.70,1,N,151,24,2,6,0.5,0.5,0,0,0.3,7.3
1,2017-07-12T21:49:01.000,2017-07-12T22:06:39.000,1,3.50,1,N,42,239,2,14.5,0.5,0.5,0,0,0.3,15.8
2,2017-07-12T21:02:07.000,2017-07-12T21:19:21.000,1,4.79,1,N,48,261,1,17,0.5,0.5,3.66,0,0.3,21.96
2,2017-07-12T21:21:37.000,2017-07-12T21:56:39.000,1,6.33,1,N,261,141,1,26,0.5,0.5,3.7,0,0.3,31
